objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,display_template,type,format,language,rights,rightsstatement
col008_mp_34,col008_meridianpolice_034.jpg,Meridian Auxillary Officers,Meridian Police,1964-04-02,"Left to right: Kenneth Smith, Roy Wood, Jonas Lee, Bill Luke, Lowell Gass, Neal Hudson, Ted Dennis ",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_35,col008_meridianpolice_035.jpg,Safety Driver of the Month,Horton Studio/Meridian Times,1969-02,"Chris Amidon, Meridian High School Student, is first young driver to be selected by Police Chief Hiner for the Optimist Club ""Safety Driver of the Month."" From left to month: Babe Anduiza (Optimist Club President), Mayor Don Storey, Chris Amidon, Gene Hiner ",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_36,col008_meridianpolice_036.jpg,"""Two Wheels for Easter Seals"" ",Meridian Times,1969-03,Delta Sigma Phi fathernity members from University of Idaho with Meridian Chamber of Commerce President John Fitzgerald and Police Chief Gene Hiner. Faternity members perform yearly 400 mile bike ride from Moscow to Boise to publicize Idaho Easter Seal campaign. Fitzgerald and Hiner rode last few miles into Meridian with Meridian attorney Ivar J. Longetig behind Hiner. ,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_37,col008_meridianpolice_037.jpg,Robert E. Edwards-New Meridian Policeman,Meridian Times,1969-05,"Robert E. Edwards, a new police officer. ",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_38,col008_meridianpolice_038.jpg,Gene Hiner Examines Shooting Evidence,Meridian Times,1969-04,Police Chief Gene Hiner examines bullet holes in window of Davis Food Store. Hiner fired four shoots while reporting to a nighttime burglar alarm and seeing two men near the cash register,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_39,col008_meridianpolice_039.jpg,Idaho Jaycees Bicycle Safety Campaign ,Meridian Times ,1970-04,"Idaho Jaycees sponsor an annual bicycle and motorcycle safety campaign. From left to right: Jim Heath (State President of Idaho Jaycees), Gene Hiner (Police Chief), Harlan Schildauer (Meridian Jaycee President), Robert Gaston (Meridian police officer)",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_40,col008_meridianpolice_040.jpg,Noted Escape Artist-Steve Baker,Meridian Times,1970-09,"Steve Baker, an escape artist, discusses his September 19th pre-show escape from Meridian City Jail with Chief Gene Hiner",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_41,col008_meridianpolice_041.jpg,Merry Christmas Boxes,Meridian Times,1970-12-24,"Police Chief Gene Hiner helps the Meridian Jaycees with Merry Christmas boxes of food to be donated to community families; Left to right: Larry Cantrell, Jerry Gould, George Cuttlers",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_42,col008_meridianpolice_042.jpg,Davis Food Store Robbery,C.E. Kimball/Meridian Times,1971-01-16,"Davis Food Store clerk, Jessie Jackson, shows Police Chief Hiner that the robbery suspects did not get a stack of five dollar bills under the cash tray, although they took the other cash. George Davis, store owner, is on the phone in the background.",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_43,col008_meridianpolice_043.jpg,High School Student Jail Project,Horton Studio/Meridian Times,1974-01-14,"Dave Cheney, Meridian High School student body president, went for reality on a school project. Cheney arranged with Police Chief Hiner to ""arrest"" him and let him spend a night in a Meridian City Jail cell.",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_44,col008_meridianpolice_044.jpg,Newspaper Reports New Meridian Police Uniforms,Meridian Times,1973,Officer Lee Cordell pictured in newspaper announcing Meridian Police new blue uniforms. Previously they had two-toned uniforms.,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_45,col008_meridianpolice_045.jpg,Sidney Spath-New Police Chief,Meridian Times,1973-04-05,"Sidney Spath becomes the new Meridian Police Chief after Gene Hiner resigned on February 28, 1973. Hiner had moved out of the city. Spath had served with the Meridian police for the previous four years. ",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_46,col008_meridianpolice_046.jpg,Gene Hiner's Chief of Police Card,Meridian Police Department,1960,Gene Hiner's Chief of Police Card signed by Mayor Don Storey (circa mid 1960s). Expiration date for card set for 1969. ,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_47,col008_meridianpolice_047.jpg,Hiner's American Legion Recognition ,American Legion ,1967-03-21,"The American Legion, through post number 113, presented Gene Hiner a Certificate of Achievement for his duties as a police officer. ",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_48,col008_meridianpolice_048.jpg,Meridian Police Department Wooden Crest,Meridian Library District,2023,Meridian Police Department Wooden Crest; picture taken 2023,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,Meridian Police Department,,image,Image;StillImage,image/jpeg,eng,,
col008_mp_49,col008_mphinerscrapbook_part1.pdf,Police Chief Gene Hiner Scrapbook Part 1,Gene Hiner Family,1956,"The Police Chief Gene Hiner Scrapbook was prepared by the family of Gene Hiner and gifted to the Meridian Police Department. The Hiner family and the MPD have provided permission for this scrapbook to be included in this digital collection. Digitization staff have divided the scrapbook into 7 parts for website use. The scrapbook collection, in all its parts combined, contains certificates of achievement presented to Gene Hiner, photographs of crime evidence, photographs of police officers, newspaper articles detailing events related to the Meridian Police Department and the City of Meridian, letters of recommendation in behalf of Gene Hiner, letters of recognition to MPD and Gene Hiner, and other items. The scrapbook collection as a whole contains content from 1956 to 1992. The majority of the content focuses from the 1960s into the early 1970s. ",Police forces; Police officers; Police service; Policemen; Subburban police; Press and Police; Police Chiefs; Police-Public Relations,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,pdf,text,application/pdf,eng,,
col008_mp_50,col008_mphinerscrapbook_part2.pdf,Police Chief Gene Hiner Scrapbook Part 2,Gene Hiner Family,1956,"The Police Chief Gene Hiner Scrapbook was prepared by the family of Gene Hiner and gifted to the Meridian Police Department. The Hiner family and the MPD have provided permission for this scrapbook to be included in this digital collection. Digitization staff have divided the scrapbook into 7 parts for website use. The scrapbook collection, in all its parts combined, contains certificates of achievement presented to Gene Hiner, photographs of crime evidence, photographs of police officers, newspaper articles detailing events related to the Meridian Police Department and the City of Meridian, letters of recommendation in behalf of Gene Hiner, letters of recognition to MPD and Gene Hiner, and other items. The scrapbook collection as a whole contains content from 1956 to 1992. The majority of the content focuses from the 1960s into the early 1970s. ",Police forces; Police officers; Police service; Policemen; Subburban police; Press and Police; Police Chiefs; Police-Public Relations,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,pdf,text,application/pdf,eng,,
col008_mp_51,col008_mphinerscrapbook_part3.pdf,Police Chief Gene Hiner Scrapbook Part 3,Gene Hiner Family,1956,"The Police Chief Gene Hiner Scrapbook was prepared by the family of Gene Hiner and gifted to the Meridian Police Department. The Hiner family and the MPD have provided permission for this scrapbook to be included in this digital collection. Digitization staff have divided the scrapbook into 7 parts for website use. The scrapbook collection, in all its parts combined, contains certificates of achievement presented to Gene Hiner, photographs of crime evidence, photographs of police officers, newspaper articles detailing events related to the Meridian Police Department and the City of Meridian, letters of recommendation in behalf of Gene Hiner, letters of recognition to MPD and Gene Hiner, and other items. The scrapbook collection as a whole contains content from 1956 to 1992. The majority of the content focuses from the 1960s into the early 1970s. ",Police forces; Police officers; Police service; Policemen; Subburban police; Press and Police; Police Chiefs; Police-Public Relations,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,pdf,text,application/pdf,eng,,
col008_mp_52,col008_mphinerscrapbook_part4.pdf,Police Chief Gene Hiner Scrapbook Part 4,Gene Hiner Family,1956,"The Police Chief Gene Hiner Scrapbook was prepared by the family of Gene Hiner and gifted to the Meridian Police Department. The Hiner family and the MPD have provided permission for this scrapbook to be included in this digital collection. Digitization staff have divided the scrapbook into 7 parts for website use. The scrapbook collection, in all its parts combined, contains certificates of achievement presented to Gene Hiner, photographs of crime evidence, photographs of police officers, newspaper articles detailing events related to the Meridian Police Department and the City of Meridian, letters of recommendation in behalf of Gene Hiner, letters of recognition to MPD and Gene Hiner, and other items. The scrapbook collection as a whole contains content from 1956 to 1992. The majority of the content focuses from the 1960s into the early 1970s. ",Police forces; Police officers; Police service; Policemen; Subburban police; Press and Police; Police Chiefs; Police-Public Relations,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,pdf,text,application/pdf,eng,,
col008_mp_53,col008_mphinerscrapbook_part5.pdf,Police Chief Gene Hiner Scrapbook Part 5,Gene Hiner Family,1956,"The Police Chief Gene Hiner Scrapbook was prepared by the family of Gene Hiner and gifted to the Meridian Police Department. The Hiner family and the MPD have provided permission for this scrapbook to be included in this digital collection. Digitization staff have divided the scrapbook into 7 parts for website use. The scrapbook collection, in all its parts combined, contains certificates of achievement presented to Gene Hiner, photographs of crime evidence, photographs of police officers, newspaper articles detailing events related to the Meridian Police Department and the City of Meridian, letters of recommendation in behalf of Gene Hiner, letters of recognition to MPD and Gene Hiner, and other items. The scrapbook collection as a whole contains content from 1956 to 1992. The majority of the content focuses from the 1960s into the early 1970s. ",Police forces; Police officers; Police service; Policemen; Subburban police; Press and Police; Police Chiefs; Police-Public Relations,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,pdf,text,application/pdf,eng,,
col008_mp_54,col008_mphinerscrapbook_part6.pdf,Police Chief Gene Hiner Scrapbook Part 6,Gene Hiner Family,1956,"The Police Chief Gene Hiner Scrapbook was prepared by the family of Gene Hiner and gifted to the Meridian Police Department. The Hiner family and the MPD have provided permission for this scrapbook to be included in this digital collection. Digitization staff have divided the scrapbook into 7 parts for website use. The scrapbook collection, in all its parts combined, contains certificates of achievement presented to Gene Hiner, photographs of crime evidence, photographs of police officers, newspaper articles detailing events related to the Meridian Police Department and the City of Meridian, letters of recommendation in behalf of Gene Hiner, letters of recognition to MPD and Gene Hiner, and other items. The scrapbook collection as a whole contains content from 1956 to 1992. The majority of the content focuses from the 1960s into the early 1970s. ",Police forces; Police officers; Police service; Policemen; Subburban police; Press and Police; Police Chiefs; Police-Public Relations,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,pdf,text,application/pdf,eng,,
col008_mp_55,col008_mphinerscrapbook_part7.pdf,Police Chief Gene Hiner Scrapbook Part 7,Gene Hiner Family,1956,"The Police Chief Gene Hiner Scrapbook was prepared by the family of Gene Hiner and gifted to the Meridian Police Department. The Hiner family and the MPD have provided permission for this scrapbook to be included in this digital collection. Digitization staff have divided the scrapbook into 7 parts for website use. The scrapbook collection, in all its parts combined, contains certificates of achievement presented to Gene Hiner, photographs of crime evidence, photographs of police officers, newspaper articles detailing events related to the Meridian Police Department and the City of Meridian, letters of recommendation in behalf of Gene Hiner, letters of recognition to MPD and Gene Hiner, and other items. The scrapbook collection as a whole contains content from 1956 to 1992. The majority of the content focuses from the 1960s into the early 1970s. ",Police forces; Police officers; Police service; Policemen; Subburban police; Press and Police; Police Chiefs; Police-Public Relations,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,pdf,text,application/pdf,eng,,
